Date,Open,High,Low,Close,Volume,Adj Close
2013-06-13,11.20,11.24,10.80,11.22,30603800,11.22
2013-06-12,11.14,11.14,11.14,11.14,000,11.14
2013-06-11,11.12,11.34,11.06,11.14,15681700,11.14
2013-06-10,11.12,11.32,11.12,11.24,24676700,11.24
2013-06-07,11.08,11.24,11.00,11.10,28931500,11.10
2013-06-06,11.04,11.06,10.88,11.04,17893400,11.04
2013-06-05,11.02,11.14,10.82,11.04,23121700,11.04
2013-06-04,10.96,11.20,10.86,11.10,21707000,11.10
2013-06-03,10.80,11.18,10.70,10.96,14133100,10.96
2013-05-31,10.82,11.00,10.82,10.84,19073100,10.84
2013-05-30,10.78,10.98,10.78,10.92,10992500,10.92
2013-05-29,10.90,11.00,10.78,10.84,12755500,10.84
2013-05-28,10.80,10.96,10.72,10.86,15929200,10.86
2013-05-27,10.84,10.98,10.78,10.84,9985600,10.84
2013-05-24,10.92,11.08,10.90,10.98,14883400,10.98
2013-05-23,11.14,11.36,10.80,10.88,33145500,10.88
2013-05-22,11.04,11.42,11.04,11.38,13556200,11.38
2013-05-21,11.30,11.46,11.28,11.36,27406000,11.36
2013-05-20,11.20,11.40,11.20,11.34,41559800,11.34
2013-05-17,11.12,11.12,11.12,11.12,000,11.12
2013-05-16,11.02,11.22,11.02,11.12,55007600,11.12
2013-05-15,10.92,11.36,10.82,11.16,127922800,11.00
2013-05-14,10.30,10.38,10.16,10.30,34653800,10.15
2013-05-13,10.08,10.16,10.08,10.12,20416300,9.97
2013-05-10,10.12,10.18,10.06,10.12,15851300,9.97
2013-05-09,10.20,10.28,10.00,10.14,24363600,9.99
2013-05-08,10.02,10.34,9.97,10.20,60372500,10.05
2013-05-07,9.98,10.04,9.91,9.98,18509800,9.84
2013-05-06,10.12,10.16,9.98,9.99,25006500,9.85
2013-05-03,10.04,10.08,9.98,10.00,19311600,9.86
2013-05-02,9.90,10.14,9.85,9.90,33258500,9.76
2013-05-01,10.04,10.04,10.04,10.04,000,9.90
2013-04-30,10.20,10.24,10.02,10.04,18629400,9.90
2013-04-29,10.16,10.18,10.02,10.12,12416800,9.97
2013-04-26,10.18,10.22,10.10,10.16,16006300,10.01
2013-04-25,9.95,10.12,9.95,10.06,18823100,9.92
2013-04-24,10.00,10.04,9.93,9.95,24056500,9.81
2013-04-23,9.98,10.06,9.94,9.95,15175200,9.81
2013-04-22,10.00,10.12,9.98,10.08,14362000,9.94
2013-04-19,10.14,10.14,9.96,10.06,22921400,9.92
2013-04-18,10.02,10.14,9.90,10.12,18464600,9.97
2013-04-17,10.20,10.30,10.04,10.08,15951100,9.94
2013-04-16,10.04,10.18,10.04,10.04,33393700,9.90
2013-04-15,10.50,10.50,10.22,10.28,13044600,10.13
2013-04-12,10.66,10.68,10.52,10.52,10420100,10.37
2013-04-11,10.44,10.56,10.40,10.52,14673400,10.37
2013-04-10,10.16,10.40,10.16,10.38,11879700,10.23
2013-04-09,10.32,10.32,10.10,10.24,11596200,10.09
2013-04-08,10.02,10.28,9.95,10.22,13215400,10.07
2013-04-05,10.34,10.40,10.12,10.14,25169800,9.99
2013-04-04,10.56,10.56,10.56,10.56,000,10.41
2013-04-03,10.78,10.78,10.46,10.56,14118300,10.41
2013-04-02,10.50,10.72,10.42,10.62,19497500,10.47
2013-04-01,10.70,10.70,10.70,10.70,000,10.55
2013-03-29,10.70,10.70,10.70,10.70,000,10.55
2013-03-28,10.86,10.86,10.52,10.70,15344700,10.55
2013-03-27,10.94,10.94,10.64,10.78,12617700,10.63
2013-03-26,10.80,10.98,10.78,10.94,29290800,10.78
2013-03-25,10.82,10.90,10.72,10.80,17896200,10.65
2013-03-22,10.36,11.06,10.22,10.74,81587700,10.59
2013-03-21,10.52,10.62,10.46,10.56,15633600,10.41
2013-03-20,10.44,10.74,10.30,10.44,35433100,10.29
2013-03-19,10.36,10.54,10.20,10.30,17132300,10.15
2013-03-18,10.60,10.62,10.24,10.30,24694100,10.15
2013-03-15,10.86,10.88,10.50,10.66,46095300,10.51
2013-03-14,11.10,11.12,10.80,10.88,16693700,10.72
2013-03-13,10.98,10.98,10.74,10.96,18556100,10.80
2013-03-12,11.24,11.24,10.80,10.94,18458600,10.78
2013-03-11,11.20,11.20,11.08,11.16,20419000,11.00
2013-03-08,11.00,11.14,10.92,10.98,37903000,10.82
2013-03-07,10.46,10.98,10.40,10.82,39040400,10.66
2013-03-06,10.40,10.50,10.38,10.44,12255400,10.29
